Wavenumber,Absorbance
3403.88989,0.04767
3401.82942,0.04774
3399.76896,0.04786
3397.70849,0.04768
3395.64802,0.04745
3393.58756,0.04746
3391.52709,0.04752
3389.46663,0.04725
3387.40616,0.04684
3385.34569,0.04674
3383.28523,0.04684
3381.22476,0.04680
3379.16430,0.04666
3377.10383,0.04644
3375.04336,0.04621
3372.98290,0.04621
3370.92243,0.04644
3368.86197,0.04650
3366.80150,0.04621
3364.74103,0.04590
3362.68057,0.04592
3360.62010,0.04605
3358.55963,0.04598
3356.49917,0.04585
3354.43870,0.04582
3352.37824,0.04597
3350.31777,0.04617
3348.25730,0.04623
3346.19684,0.04626
3344.13637,0.04645
3342.07591,0.04668
3340.01544,0.04678
3337.95497,0.04661
3335.89451,0.04627
3333.83404,0.04619
3331.77358,0.04632
3329.71311,0.04648
3327.65264,0.04679
3325.59218,0.04718
3323.53171,0.04749
3321.47125,0.04750
3319.41078,0.04724
3317.35031,0.04722
3315.28985,0.04746
3313.22938,0.04754
3311.16892,0.04760
3309.10845,0.04780
3307.04798,0.04801
3304.98752,0.04814
3302.92705,0.04816
3300.86659,0.04797
3298.80612,0.04761
3296.74565,0.04744
3294.68519,0.04746
3292.62472,0.04735
3290.56426,0.04714
3288.50379,0.04701
3286.44332,0.04699
3284.38286,0.04700
3282.32239,0.04690
3280.26193,0.04674
3278.20146,0.04675
3276.14099,0.04689
3274.08053,0.04706
3272.02006,0.04736
3269.95960,0.04759
3267.89913,0.04757
3265.83866,0.04746
3263.77820,0.04740
3261.71773,0.04733
3259.65727,0.04717
3257.59680,0.04714
3255.53633,0.04744
3253.47587,0.04783
3251.41540,0.04803
3249.35494,0.04818
3247.29447,0.04844
3245.23400,0.04872
3243.17354,0.04887
3241.11307,0.04876
3239.05260,0.04871
3236.99214,0.04899
3234.93167,0.04935
3232.87121,0.04957
3230.81074,0.04957
3228.75027,0.04956
3226.68981,0.04983
3224.62934,0.05023
3222.56888,0.05043
3220.50841,0.05059
3218.44794,0.05093
3216.38748,0.05118
3214.32701,0.05125
3212.26655,0.05137
3210.20608,0.05158
3208.14561,0.05187
3206.08515,0.05220
3204.02468,0.05250
3201.96422,0.05271
3199.90375,0.05279
3197.84328,0.05295
3195.78282,0.05322
3193.72235,0.05347
3191.66189,0.05381
3189.60142,0.05417
3187.54095,0.05433
3185.48049,0.05435
3183.42002,0.05447
3181.35956,0.05475
3179.29909,0.05502
3177.23862,0.05518
3175.17816,0.05527
3173.11769,0.05541
3171.05723,0.05565
3168.99676,0.05591
3166.93629,0.05613
3164.87583,0.05645
3162.81536,0.05691
3160.75490,0.05723
3158.69443,0.05727
3156.63396,0.05726
3154.57350,0.05742
3152.51303,0.05785
3150.45257,0.05834
3148.39210,0.05843
3146.33163,0.05827
3144.27117,0.05847
3142.21070,0.05886
3140.15024,0.05897
3138.08977,0.05893
3136.02930,0.05902
3133.96884,0.05916
3131.90837,0.05933
3129.84791,0.05966
3127.78744,0.06004
3125.72697,0.06017
3123.66651,0.06018
3121.60604,0.06043
3119.54558,0.06086
3117.48511,0.06124
3115.42464,0.06152
3113.36418,0.06169
3111.30371,0.06173
3109.24324,0.06179
3107.18278,0.06211
3105.12231,0.06249
3103.06185,0.06284
3101.00138,0.06329
3098.94091,0.06368
3096.88045,0.06395
3094.81998,0.06430
3092.75952,0.06491
3090.69905,0.06584
3088.63858,0.06698
3086.57812,0.06831
3084.51765,0.06979
3082.45719,0.07106
3080.39672,0.07198
3078.33625,0.07257
3076.27579,0.07283
3074.21532,0.07285
3072.15486,0.07272
3070.09439,0.07245
3068.03392,0.07203
3065.97346,0.07146
3063.91299,0.07081
3061.85253,0.07026
3059.79206,0.06993
3057.73159,0.06983
3055.67113,0.06971
3053.61066,0.06947
3051.55020,0.06941
3049.48973,0.06952
3047.42926,0.06955
3045.36880,0.06957
3043.30833,0.06972
3041.24787,0.06993
3039.18740,0.06998
3037.12693,0.06989
3035.06647,0.06986
3033.00600,0.06985
3030.94554,0.06988
3028.88507,0.07010
3026.82460,0.07033
3024.76414,0.07041
3022.70367,0.07049
3020.64321,0.07062
3018.58274,0.07070
3016.52227,0.07079
3014.46181,0.07100
3012.40134,0.07114
3010.34088,0.07124
3008.28041,0.07146
3006.21994,0.07162
3004.15948,0.07165
3002.09901,0.07161
3000.03855,0.07151
2997.97808,0.07154
2995.91761,0.07160
2993.85715,0.07155
2991.79668,0.07159
2989.73621,0.07179
2987.67575,0.07188
2985.61528,0.07172
2983.55482,0.07151
2981.49435,0.07130
2979.43388,0.07102
2977.37342,0.07076
2975.31295,0.07068
2973.25249,0.07081
2971.19202,0.07089
2969.13155,0.07089
2967.07109,0.07083
2965.01062,0.07072
2962.95016,0.07072
2960.88969,0.07076
2958.82922,0.07055
2956.76876,0.07025
2954.70829,0.07028
2952.64783,0.07051
2950.58736,0.07050
2948.52689,0.07031
2946.46643,0.07026
2944.40596,0.07033
2942.34550,0.07038
2940.28503,0.07043
2938.22456,0.07056
2936.16410,0.07081
2934.10363,0.07106
2932.04317,0.07127
2929.98270,0.07137
2927.92223,0.07124
2925.86177,0.07111
2923.80130,0.07113
2921.74084,0.07115
2919.68037,0.07113
2917.61990,0.07106
2915.55944,0.07094
2913.49897,0.07078
2911.43851,0.07060
2909.37804,0.07047
2907.31757,0.07043
2905.25711,0.07054
2903.19664,0.07067
2901.13618,0.07071
2899.07571,0.07068
2897.01524,0.07065
2894.95478,0.07083
2892.89431,0.07100
2890.83385,0.07089
2888.77338,0.07083
2886.71291,0.07103
2884.65245,0.07115
2882.59198,0.07109
2880.53152,0.07102
2878.47105,0.07099
2876.41058,0.07112
2874.35012,0.07133
2872.28965,0.07133
2870.22918,0.07125
2868.16872,0.07127
2866.10825,0.07130
2864.04779,0.07123
2861.98732,0.07117
2859.92685,0.07121
2857.86639,0.07124
2855.80592,0.07117
2853.74546,0.07098
2851.68499,0.07070
2849.62452,0.07049
2847.56406,0.07033
2845.50359,0.06995
2843.44313,0.06933
2841.38266,0.06888
2839.32219,0.06875
2837.26173,0.06855
2835.20126,0.06829
2833.14080,0.06821
2831.08033,0.06807
2829.01986,0.06776
2826.95940,0.06752
2824.89893,0.06731
2822.83847,0.06708
2820.77800,0.06687
2818.71753,0.06663
2816.65707,0.06633
2814.59660,0.06608
2812.53614,0.06595
2810.47567,0.06583
2808.41520,0.06559
2806.35474,0.06527
2804.29427,0.06494
2802.23381,0.06466
2800.17334,0.06448
2798.11287,0.06425
2796.05241,0.06392
2793.99194,0.06360
2791.93148,0.06330
2789.87101,0.06288
2787.81054,0.06229
2785.75008,0.06173
2783.68961,0.06136
2781.62915,0.06101
2779.56868,0.06063
2777.50821,0.06033
2775.44775,0.06010
2773.38728,0.05979
2771.32682,0.05937
2769.26635,0.05885
2767.20588,0.05828
2765.14542,0.05783
2763.08495,0.05752
2761.02449,0.05718
2758.96402,0.05674
2756.90355,0.05637
2754.84309,0.05604
2752.78262,0.05566
2750.72215,0.05538
2748.66169,0.05518
2746.60122,0.05489
2744.54076,0.05451
2742.48029,0.05413
2740.41982,0.05387
2738.35936,0.05370
2736.29889,0.05345
2734.23843,0.05315
2732.17796,0.05299
2730.11749,0.05284
2728.05703,0.05251
2725.99656,0.05220
2723.93610,0.05201
2721.87563,0.05194
2719.81516,0.05197
2717.75470,0.05195
2715.69423,0.05173
2713.63377,0.05140
2711.57330,0.05122
2709.51283,0.05130
2707.45237,0.05146
2705.39190,0.05155
2703.33144,0.05162
2701.27097,0.05180
2699.21050,0.05195
2697.15004,0.05194
2695.08957,0.05197
2693.02911,0.05217
2690.96864,0.05230
2688.90817,0.05231
2686.84771,0.05248
2684.78724,0.05270
2682.72678,0.05281
2680.66631,0.05300
2678.60584,0.05319
2676.54538,0.05329
2674.48491,0.05346
2672.42445,0.05369
2670.36398,0.05390
2668.30351,0.05407
2666.24305,0.05430
2664.18258,0.05456
2662.12212,0.05468
2660.06165,0.05468
2658.00118,0.05478
2655.94072,0.05503
2653.88025,0.05533
2651.81979,0.05552
2649.75932,0.05556
2647.69885,0.05548
2645.63839,0.05532
2643.57792,0.05523
2641.51746,0.05516
2639.45699,0.05499
2637.39652,0.05481
2635.33606,0.05466
2633.27559,0.05438
2631.21513,0.05408
2629.15466,0.05399
2627.09419,0.05400
2625.03373,0.05395
2622.97326,0.05382
2620.91279,0.05356
2618.85233,0.05328
2616.79186,0.05306
2614.73140,0.05271
2612.67093,0.05236
2610.61046,0.05214
2608.55000,0.05196
2606.48953,0.05183
2604.42907,0.05178
2602.36860,0.05172
2600.30813,0.05160
2598.24767,0.05155
2596.18720,0.05161
2594.12674,0.05154
2592.06627,0.05145
2590.00580,0.05158
